"Firmenname ","Branche","Branche","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"Raiffeisenbank Feldkirchen-Goldwörth eGen","Finanzinstitut","Hauptstr. 2","4101","Feldkirchen an der Donau",,,,,,,
"Raiffeisenbank Region Freistadt eGen","Finanzinstitut","Linzer Straße 15","4240","Freistadt (OÖ)",,,,,,,
"Raiffeisenbank Region Gallneukirchen eGen","Finanzinstitut","Reichenauerstr. 6-8","4210","Gallneukirchen",,,,,,,
"Raiffeisenbank Gampern eGen","Finanzinstitut","Gampern 70","4851","Gampern",,,,,,,
"Raiffeisenbank Steyr eGen","Finanzinstitut","Stadtplatz 46","4400","Steyr",,,,,,,
"Raiffeisenbank Geretsberg eGen","Finanzinstitut","Geretsberg 3","5132","Geretsberg",,,,,,,
"Raiffeisenbank Großraming eGen","Finanzinstitut","Eisenstraße 25","4463","Großraming",,,,,,,
"Raiffeisenbank Grünau - St. Konrad - Scharnstein eGen","Finanzinstitut","Im Dorf 15","4645","Grünau im Almtal",,,,,,,
"Raiffeisenbank Gunskirchen eGen","Finanzinstitut","Raiffeisenplatz 1","4623","Gunskirchen",,,,,,,
"Raiffeisenbank Gramastetten-Herzogsdorf eGen","Finanzinstitut","Marktstraße 41","4201","Gramastetten",,,,,,,
"Raiffeisenbank Handenberg - St. Georgen a. F. eGen","Finanzinstitut","Baumgartnerstraße 1","5144","Handenberg",,,,,,,
"Raiffeisenbank Helfenberg - St. Stefan a.W. eGen","Finanzinstitut","Leonfeldner Str. 5","4184","Helfenberg",,,,,,,
"Raiffeisenbank Hellmonsödt eGen","Finanzinstitut","Marktpl. 12","4202","Hellmonsödt",,,,,,,
"Raiffeisenbank Hinterstoder und Vorderstoder eGen","Finanzinstitut","Nr. 19","4573","Hinterstoder",,,,,,,
"Raiffeisenbank Hörsching-Thening eGen","Finanzinstitut","Ofteringer Str. 1","4063","Hörsching",,,,,,,
"Raiffeisenbank Region Eferding eGen","Finanzinstitut","Schiferplatz 24","4070","Eferding",,,,,,,
"Raiffeisenbank Innkreis Mitte eGen","Finanzinstitut","Nr. 7","4974","Ort im Innkreis",,,,,,,
"Raiffeisenbank Kematen-Neuhofen eGen","Finanzinstitut","Steyrer Straße 1","4501","Neuhofen an der Krems",,,,,,,
"Raiffeisenbank Kleinmünchen/Linz eGen","Finanzinstitut","Salzburger Straße 5","4030","Linz/Donau",,,,,,,
"Raiffeisenbank Kollerschlag eGen","Finanzinstitut","Markt 4","4154","Kollerschlag",,,,,,,
"Raiffeisenbank Region Hausruck eGen","Finanzinstitut","Marktplatz 6","4680","Haag/Hausruck",,,,,,,
"Raiffeisenbank Leonding eGen","Finanzinstitut","Stadtpl. 4","4060","Leonding",,,,,,,
"Raiffeisenbank Region Bad Leonfelden eGen","Finanzinstitut","Hauptpl. 2","4190","Bad Leonfelden",,,,,,,
"Raiffeisenbank Lohnsburg eGen","Finanzinstitut","Marktplatz 90","4923","Lohnsburg am Kobernaußerwald",,,,,,,
"Raiffeisenbank Lochen am See eGen","Finanzinstitut","Ringstraße 5","5221","Lochen",,,,,,,
"Raiffeisenbank Region Neufelden eGen","Finanzinstitut","Markt 18","4120","Neufelden",,,,,,,
"Raiffeisenbank Mattigtal eGen","Finanzinstitut","Hauptstr. 61","5231","Schalchen",,,,,,,
"Raiffeisenbank Maria Schmolln-St. Johann eGen","Finanzinstitut","Nr. 68","5241","Maria Schmolln",,,,,,,
"Raiffeisenbank Meggenhofen-Kematen eGen","Finanzinstitut","Meggenhofen 55","4714","Meggenhofen",,,,,,,
"Raiffeisenbank Region Kirchdorf eGen","Finanzinstitut","Hauptplatz 29","4560","Kirchdorf an der Krems",,,,,,,
"Raiffeisenbank Mondseeland eGen","Finanzinstitut","Rainerstraße 11","5310","Mondsee",,,,,,,
"Raiffeisenbank Mühlviertler Alm eGen","Finanzinstitut","Schulstr. 2","4280","Königswiesen",,,,,,,
"Raiffeisenbank Neukirchen an der Vöckla eGen","Finanzinstitut","Hauptstraße 22","4872","Neukirchen an der Vöckla",,,,,,,
"Raiffeisenbank Niederwaldkirchen eGen","Finanzinstitut","Markt 21","4174","Niederwaldkirchen",,,,,,,
"Raiffeisenbank Attersee-Süd eGen","Finanzinstitut","Dorfstraße 50","4865","Nussdorf am Attersee",,,,,,,
"Raiffeisenbank Oberes Innviertel eGen","Finanzinstitut","Siedlungsstraße 1","5142","Eggelsberg",,,,,,,
"Raiffeisenbank Mittleres Rodltal eGen","Finanzinstitut","Marktpl. 44","4181","Oberneukirchen/ OÖ",,,,,,,
"Raiffeisenbank Ohlsdorf eGen","Finanzinstitut","Hauptstraße 22","4694","Ohlsdorf",,,,,,,
"Raiffeisenbank Ottnang-Wolfsegg eGen","Finanzinstitut","Hauptstraße 17","4901","Ottnang am Hausruck",,,,,,,
"Raiffeisenbank Region Rohrbach eGen","Finanzinstitut","Stadtplatz 30","4150","Rohrbach-Berg(OÖ)",,,,,,,
"Raiffeisenbank Pabneukirchen eGen","Finanzinstitut","Markt 8","4363","Pabneukirchen",,,,,,,
"Raiffeisenbank Pöndorf - Frankenmarkt eGen","Finanzinstitut","Pöndorf 4","4891","Pöndorf",,,,,,,
"Raiffeisenbank Prambachkirchen eGen","Finanzinstitut","Hauptstraße 18","4731","Prambachkirchen",,,,,,,
"Raiffeisenbank Pramet eGen","Finanzinstitut","Pramet 2","4925","Pramet",,,,,,,
"Raiffeisenbank Peuerbach eGen","Finanzinstitut","Hauptstraße 14/1","4722","Peuerbach",,,,,,,
"Raiffeisenbank Region Ried i.I. eGen","Finanzinstitut","Friedrich-Thurner-Straße 14","4910","Ried im Innkreis",,,,,,,
"Raiffeisenbank Region Schärding eGen","Finanzinstitut","Oberer Stadtplatz 42","4780","Schärding",,,,,,,
"Raiffeisenbank Region Pregarten eGen","Finanzinstitut","Stadtplatz 17","4230","Pregarten",,,,,,,
"Raiffeisenbank Reichenau eGen","Finanzinstitut","Marktplatz 8","4204","Reichenau im Mühlkreis",,,,,,,
"Raiffeisenbank Windischgarsten eGen","Finanzinstitut","Bahnhofstraße 6","4580","Windischgarsten",,,,,,,
"Raiffeisenbank Salzkammergut eGen","Finanzinstitut","Schiffslände 5","4810","Gmunden",,,,,,,
"Raiffeisenbank St. Agatha eGen","Finanzinstitut","Stauffstraße 8","4084","St.Agatha",,,,,,,
"Raiffeisenbank St.Florian am Inn eGen","Finanzinstitut","St. Florian 50","4782","St. Florian am Inn",,,,,,,
"Raiffeisenbank Attergau eGen","Finanzinstitut","Attergaustraße 38a","4880","St. Georgen im Attergau",,,,,,,
"Raiffeisenbank St. Marien eGen","Finanzinstitut","Nr. 19","4502","St. Marien bei Neuhofen",,,,,,,
"Raiffeisenbank St. Martin i.M.-Kleinzell eGen","Finanzinstitut","Markt 17","4113","St. Martin im Mühlkreis",,,,,,,
"Raiffeisenbank St. Roman eGen","Finanzinstitut","Altendorf 29","4793","St. Roman bei Schärding",,,,,,,
"Raiffeisenbank Inneres Salzkammergut eGen","Finanzinstitut","Kreuzplatz 20","4820","Bad Ischl",,,,,,,
"Raiffeisenbank Region Sierning-Enns eGen","Finanzinstitut","Neustr. 5","4522","Sierning",,,,,,,
"Raiffeisenbank Attersee-Nord eGen","Finanzinstitut","Raiffeisenplatz 1","4863","Seewalchen am Attersee",,,,,,,
"Raiffeisenbank Schwertberg eGen","Finanzinstitut","Bahnhofstr. 8","4311","Schwertberg",,,,,,,
"Raiffeisenbank Region Schwanenstadt eGen","Finanzinstitut","Stadtpl. 25-26","4690","Schwanenstadt",,,,,,,
"Raiffeisenbank Steinbach-Grünburg eGen","Finanzinstitut","Ortsplatz 2","4596","Steinbach an der Steyr",,,,,,,
"Raiffeisenbank Steyregg eGen","Finanzinstitut","Weissenwolffstr. 10","4221","Steyregg",,,,,,,
"Raiffeisenbank Tarsdorf eGen","Finanzinstitut","Nr. 105","5121","Tarsdorf",,,,,,,
"Raiffeisenbank Timelkam-Lenzing-Puchkirchen eGen","Finanzinstitut","Pollheimerstr. 1","4850","Timelkam",,,,,,,
"Raiffeisenbank Wels eGen","Finanzinstitut","Kaiser-Josef-Pl. 58","4601","Wels",,,,,,,
"Raiffeisenbank Region Vöcklabruck eGen","Finanzinstitut","Salzburger Straße 1","4840","Vöcklabruck",,,,,,,
"Raiffeisenbank Walding-Ottensheim eGen","Finanzinstitut","Raiffeisenpl. 2","4111","Walding",,,,,,,
"Raiffeisenbank Waldzell eGen","Finanzinstitut","Hofmark 8","4924","Waldzell",,,,,,,
"Raiffeisenbank Region Grieskirchen eGen","Finanzinstitut","Roßmarkt 11","4710","Grieskirchen",,,,,,,
"Raiffeisenbank Wartberg an der Krems eGen","Finanzinstitut","Hauptstr. 23","4552","Wartberg an der Krems",,,,,,,
"Raiffeisenbank Weißkirchen a.d. Traun eGen","Finanzinstitut","Raiffeisenweg 1","4616","Weißkirchen an der Traun",,,,,,,
"Raiffeisenbank Weyer eGen","Finanzinstitut","Marktplatz 11","3335","Weyer (OÖ)",,,,,,,
"Raiffeisenbank Bad Wimsbach-Neydharting eGen","Finanzinstitut","Markt 23","4654","Bad Wimsbach-Neydharting",,,,,,,
"Raiffeisenbank Wels Süd eGen","Finanzinstitut","P.-B.-Rodlbergerstraße 25","4600","Thalheim bei Wels",,,,,,,
"Raiffeisenbank Perg eGen","Finanzinstitut","Linzerstr. 14","4320","Perg",,,,,,,
"Raiffeisenverband Salzburg eGen","Finanzinstitut","Schwarzstr. 13-15","5020","Salzburg",,,,,,,
"Raiffeisenbank Abtenau-Rußbach registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Markt 49","5441","Abtenau",,,,,,,
"Raiffeisenbank Hochkönig eGen","Finanzinstitut","Am Gemeindeplatz 3","5761","Maria Alm am Steinernen Meer",,,,,,,
"Raiffeisenbank Altenmarkt-Flachau-Eben eGen","Finanzinstitut","Marktplatz 5","5541","Altenmarkt im Pongau",,,,,,,
"Raiffeisenbank Anif-Niederalm eGen","Finanzinstitut","Aniferstraße 12","5081","Anif",,,,,,,
"Raiffeisenbank Annaberg-Lungötz registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Nr. 125","5524","Annaberg",,,,,,,
"Raiffeisenbank Anthering - Elixhausen eGen","Finanzinstitut","Salzburger Straße 6","5102","Anthering",,,,,,,
"Raiffeisenbank Bergheim eGen","Finanzinstitut","Dorfstraße 37","5101","Bergheim",,,,,,,
"RAIFFEISENBANK BISCHOFSHOFEN eGen","Finanzinstitut","Franz Mohshammerpl. 7","5500","Bischofshofen",,,,,,,
"Raiffeisenbank Bramberg eGen","Finanzinstitut","Kirchenstraße 8","5733","Bramberg am Wildkogel",,,,,,,
"Raiffeisenbank Bruck-Fusch-Kaprun eGen","Finanzinstitut","Glocknerstr.6","5671","Bruck a.d. Großglocknerstr.",,,,,,,
"Raiffeisenbank Eugendorf-Plainfeld eGen","Finanzinstitut","Dorf 1","5301","Eugendorf",,,,,,,
"Raiffeisenbank Faistenau-Hintersee eGen","Finanzinstitut","Am Lindenplatz 2","5324","Faistenau",,,,,,,
"Raiffeisenbank Golling-Scheffau-Kellau registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Markt 45","5440","Golling an der Salzach",,,,,,,
"Raiffeisenbank Grödig eGen","Finanzinstitut","Hauptstraße 28","5082","Grödig",,,,,,,
"Raiffeisenbank Großarl-Hüttschlag eGen","Finanzinstitut","Marktstraße 8","5611","Großarl",,,,,,,
"Raiffeisenbank Großgmain eGen","Finanzinstitut","Salzburger Straße 53","5084","Großgmain",,,,,,,
"Raiffeisenbank Köstendorf-Neumarkt-Schleedorf registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Landesstraße 4","5203","Köstendorf bei Salzburg",,,,,,,
"Raiffeisenbank Hallein eGen","Finanzinstitut","Robertplatz 1","5400","Hallein",,,,,,,
"Raiffeisenkasse Hallwang eGen","Finanzinstitut","Dorfstraße 28","5300","Hallwang",,,,,,,
"Raiffeisenbank Henndorf am Wallersee eGen","Finanzinstitut","Hauptstr. 63","5302","Henndorf am Wallersee",,,,,,,
"Raiffeisenbank Hof-Koppl-Ebenau eGen","Finanzinstitut","Wolfgangseestraße 26","5322","Hof bei Salzburg",,,,,,,
"Raiffeisenbank Gastein eGen","Finanzinstitut","Kaiser-Franz-Platz 4","5630","Bad Hofgastein",,,,,,,
"Raiffeisenbank Hüttau-St. Martin-Niedernfritz registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hüttau 35","5511","Hüttau",,,,,,,
"Raiffeisenbank Krimml registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Oberkrimml 93","5743","Krimml",,,,,,,
"Raiffeisenkasse Kuchl registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Markt 222","5431","Kuchl",,,,,,,
"Raiffeisenbank Lamprechtshausen-Bürmoos eGen","Finanzinstitut","Hauptstraße 3","5112","Lamprechtshausen",,,,,,,
"Raiffeisenbank Leogang eGen","Finanzinstitut","Leogang 65","5771","Leogang",,,,,,,
"Raiffeisenbank Salzburg-Liefering eGen","Finanzinstitut","Münchner Bundesstraße 1","5020","Salzburg",,,,,,,
"Raiffeisenbank Maishofen eGen","Finanzinstitut","Anton-Faistauer-Platz 3","5751","Maishofen",,,,,,,
"Raiffeisenbank Mariapfarr eGen","Finanzinstitut","Pfarrstraße 29","5571","Mariapfarr",,,,,,,
"Raiffeisenbank Mauterndorf-Tweng-Obertauern eGen","Finanzinstitut","Mauterndorf 87","5570","Mauterndorf",,,,,,,
"Raiffeisenbank Michaelbeuern eGen","Finanzinstitut","Michaelbeuern 76","5152","Michaelbeuern",,,,,,,
"Raiffeisenbank Mittersill-Hollersbach-Stuhlfelden registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Kirchgasse 12","5730","Mittersill",,,,,,,
"Raiffeisenbank Markt Neukirchen eGen","Finanzinstitut","Marktstraße 211","5741","Neukirchen/Grv.",,,,,,,
"Raiffeisenbank Niedernsill eGen","Finanzinstitut","Dorfstraße 16","5722","Niedernsill",,,,,,,
"Raiffeisenbank Nußdorf eGen","Finanzinstitut","Hauptstraße 1","5151","Nußdorf/H.Berg",,,,,,,
"Raiffeisenbank Oberalm-Puch registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Kahlspergstraße 1","5411","Oberalm",,,,,,,
"Raiffeisenbank St.Georgen eGen","Finanzinstitut","Dorfplatz 2","5113","St.Georgen/Sbg.",,,,,,,
"Raiffeisenbank Salzburger Seenland eGen","Finanzinstitut","Hauptstraße 52","5201","Seekirchen am Wallersee",,,,,,,
"Raiffeisenbank Piesendorf registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Dorfstraße 263","5721","Piesendorf",,,,,,,
"Raiffeisenbank Radstadt-Untertauern-Filzmoos-Forstau registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Stadtplatz 6/7","5550","Radstadt",,,,,,,
"Raiffeisenbank Rauris-Bucheben registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Marktstraße 32","5661","Rauris",,,,,,,
"Raiffeisenbank Saalbach-Hinterglemm-Viehhofen eGen","Finanzinstitut","Dorfplatz 311","5753","Saalbach",,,,,,,
"Raiffeisenbank Saalfelden registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Loferer Straße 5","5760","Saalfelden",,,,,,,
"Raiffeisenbank Salzburg Maxglan-Siezenheim eGen","Finanzinstitut","Innsbrucker Bundesstraße 34","5020","Salzburg",,,,,,,
"Raiffeisenbank St. Veit-Schwarzach-Goldegg registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Salzburgerstraße 39b","5620","Schwarzach",,,,,,,
"Raiffeisenbank St.Gilgen-Fuschl-Strobl eGen","Finanzinstitut","Mozartplatz 4","5340","St.Gilgen",,,,,,,
"Raiffeisenbank St. Johann im Pongau registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Ing.Ludwig-Pech-Straße 1","5600","St.Johann/Pg.",,,,,,,
"Raiffeisenbank St. Koloman registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Am Dorfplatz 173","5423","St.Koloman",,,,,,,
"Raiffeisenbank St. Martin-Lofer-Weißbach eGen","Finanzinstitut","St.Martin 7","5092","St.Martin/Lofer",,,,,,,
"Raiffeisenbank St.Michael - Oberlungau eGen","Finanzinstitut","Raikaplatz 242","5582","St.Michael/Lg.",,,,,,,
"Raiffeisenbank Straßwalchen eGen","Finanzinstitut","Salzburger Straße 3","5204","Straßwalchen",,,,,,,
"Raiffeisenbank Tamsweg eGen","Finanzinstitut","Kirchengasse 9","5580","Tamsweg",,,,,,,
"Raiffeisenbank Taxenbach registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Raiffeisenstraße 1","5660","Taxenbach",,,,,,,
"Raiffeisenbank Thalgau eGen","Finanzinstitut","Marktplatz 1","5303","Thalgau",,,,,,,
"Raiffeisenbank Unken eGen","Finanzinstitut","Niederland 103","5091","Unken",,,,,,,
"Raiffeisenbank Uttendorf eGen","Finanzinstitut","Dorfplatz 5","5723","Uttendf./Pinzg.",,,,,,,
"Raiffeisenbank Wagrain-Kleinarl eGen","Finanzinstitut","Markt 10","5602","Wagrain",,,,,,,
"Raiffeisenbank Wald registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Wald 87","5742","Wald/Pinzgau",,,,,,,
"Raiffeisenbank Wals-Himmelreich registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptstraße 13","5071","Wals",,,,,,,
"Raiffeisenkasse Werfen registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Markt 25","5450","Werfen",,,,,,,
"Volksbank Raiffeisenbank Oberbayern Südost eG-Zweigniederlassung VR-Bank Salzburg","Finanzinstitut","Karolingerstraße 1","5020","Salzburg",,,,,,,
"Raiffeisen-Landesbank Tirol AG","Finanzinstitut","Adamgasse 1-7","6020","Innsbruck",,,,,,,
"Raiffeisenbank Absam eGen","Finanzinstitut","Salzbergstraße 64","6067","Absam",,,,,,,
"Raiffeisenbank Achenkirch und Umgebung eGen","Finanzinstitut","Achenkirch 387a","6215","Achenkirch",,,,,,,
"Raiffeisenbank Alpbach eGen","Finanzinstitut","Alpbach 177","6236","Alpbach",,,,,,,
"Raiffeisenbank Arzl im Pitztal und Imsterberg registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Dorfstraße 38","6471","Arzl im Pitztal",,,,,,,
"Raiffeisenbank Westliches Mittelgebirge eGen","Finanzinstitut","Sylvester-Jordan-Straße 5","6094","Axams",,,,,,,
"Raiffeisenbank Brandenberg eGen","Finanzinstitut","Brandenberg 20","6234","Brandenberg",,,,,,,
"Raiffeisenbank Brixen im Thale eGen","Finanzinstitut","Dorfstraße 92","6364","Brixen im Thale",,,,,,,
"Raiffeisenbank Eben-Pertisau eGen","Finanzinstitut","Dorfstraße 38","6212","Maurach",,,,,,,
"Raiffeisenbank Ehrwald-Lermoos-Biberwier eGen","Finanzinstitut","Kirchplatz 31","6632","Ehrwald",,,,,,,
"Raiffeisenbank Oberlechtal eGen","Finanzinstitut","Nr. 52a","6652","Elbigenalp",,,,,,,
"Raiffeisenbank Erl eGen","Finanzinstitut","Dorf 44","6343","Erl",,,,,,,
"Raiffeisenbank im Vorderen Zillertal, Fügen, Fügenberg, Kaltenbach, Ried und Uderns eGen","Finanzinstitut","Franziskusweg 10","6263","Fügen",,,,,,,
"Raiffeisenbank Fulpmes-Telfes im Stubai eGen","Finanzinstitut","Kirchstraße 3","6166","Fulpmes",,,,,,,
"RaiffeisenBank Going eGen","Finanzinstitut","Dorfstraße 25","6353","Going am Wilden Kaiser",,,,,,,
"Raiffeisenkasse Hart eGen","Finanzinstitut","Harterstraße 2","6265","Hart im Zillertal",,,,,,,
"Raiffeisenbank Hippach und Umgebung eGen","Finanzinstitut","Lindenstraße 11","6283","Schwendau",,,,,,,
"Raiffeisenbank Hopfgarten im Brixental eGen","Finanzinstitut","Brixentaler Straße 15","6361","Hopfgarten/Br.T",,,,,,,
"Raiffeisenbank Paznaun eGen","Finanzinstitut","Dorfstraße 49","6561","Ischgl",,,,,,,
"Raiffeisenbank Jenbach - Wiesing eGen","Finanzinstitut","Kirchgasse 1","6200","Jenbach",,,,,,,
"Raiffeisenbank St. Anton am Arlberg eGen","Finanzinstitut","Dorfstraße 24","6580","St. Anton am Arlberg",,,,,,,
"Raiffeisenbank Kematen eGen","Finanzinstitut","Sandbichlweg 2","6175","Kematen/Tirol",,,,,,,
"Raiffeisenbank Kirchdorf Tirol registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Dorfplatz 15","6382","Kirchdorf/Tirol",,,,,,,
"Raiffeisenbank Kitzbühel - St. Johann eGen","Finanzinstitut","Achenweg 16","6370","Kitzbühel",,,,,,,
"Raiffeisenbank Kössen-Schwendt eGen","Finanzinstitut","Dorf 4","6345","Kössen",,,,,,,
"Raiffeisenbank Kundl eGen","Finanzinstitut","Dorfstraße 14","6250","Kundl",,,,,,,
"Raiffeisenbank Längenfeld eGen","Finanzinstitut","Oberlängenfeld 72","6444","Längenfeld",,,,,,,
"Raiffeisenbank Langkampfen eGen","Finanzinstitut","Untere Dorfstraße 2","6336","Langkampfen",,,,,,,
"Raiffeisenbank Buch, Gallzein und Strass registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Nr. 108a","6220","Buch in Tirol",,,,,,,
"Raiffeisenbank Matrei am Brenner und Umgebung eGen","Finanzinstitut","Raiffeisenplatz 43a","6143","Matrei/Brenner",,,,,,,
"Raiffeisenbank Mayrhofen und Umgebung eGen","Finanzinstitut","Hauptstraße 401","6290","Mayrhofen",,,,,,,
"Raiffeisenkasse Mieders-Schönberg registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Dorfstraße 2","6142","Mieders",,,,,,,
"Raiffeisenbank Münster eGen","Finanzinstitut","Dorf 340","6232","Münster",,,,,,,
"Raiffeisenkasse für Mutters, Natters und Kreith registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Kirchplatz 10","6162","Mutters",,,,,,,
"Raiffeisenbank Nauders eGen","Finanzinstitut","Dr.-Tschiggfrey-Straße 66","6543","Nauders",,,,,,,
"Raiffeisenbank Neustift im Stubai registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Dorf 2","6167","Neustift/Stubaital",,,,,,,
"Raiffeisenbank Vorderes Oetztal registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptstraße 64","6433","Oetz",,,,,,,
"Raiffeisenbank Reith im Alpbachtal eGen","Finanzinstitut","Dorf 25","6235","Reith im Alpbachtal",,,,,,,
"Raiffeisenbank Reutte registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Untermarkt 3","6600","Reutte",,,,,,,
"Raiffeisenbank Ried in Tirol Fendels-Tösens und Umgebung registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Ried in Tirol 97","6531","Ried/Oberinntal",,,,,,,
"Raiffeisenkasse Rum-Innsbruck/Arzl eGen","Finanzinstitut","Dörferstraße 10a","6063","Rum",,,,,,,
"Raiffeisenbank Seefeld-Leutasch-Reith-Scharnitz registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Münchner Straße 38","6100","Seefeld/Tirol",,,,,,,
"Raiffeisenbank Serfaus-Fiss eGen","Finanzinstitut","Dorfbahnstraße 41-43","6534","Serfaus",,,,,,,
"Raiffeisenbank Silz-Haiming und Umgebung eGen","Finanzinstitut","Tiroler Straße 78","6424","Silz",,,,,,,
"Raiffeisenbank Söll - Scheffau registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Dorf 125","6306","Söll",,,,,,,
"Raiffeisenkasse Schlitters, Bruck und Straß registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Schlitters 52","6262","Schlitters",,,,,,,
"Raiffeisen Regionalbank Schwaz eGen","Finanzinstitut","Innsbrucker Straße 11","6130","Schwaz",,,,,,,
"Raiffeisenbank Sölden eGen","Finanzinstitut","Dorfstraße 88","6450","Sölden",,,,,,,
"Raiffeisenbank Wipptal eGen","Finanzinstitut","Brennerstraße 52","6150","Steinach/Tirol",,,,,,,
"Raiffeisenkasse Stumm, Stummerberg und Umgebung registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Dorfstraße 17","6275","Stumm",,,,,,,
"Raiffeisenbank Tannheimertal eGen","Finanzinstitut","Höf 35","6675","Tannheim",,,,,,,
"Raiffeisenbank Telfs-Mieming eGen","Finanzinstitut","Untermarktstr. 3","6410","Telfs",,,,,,,
"Raiffeisenbank Thaur eGen","Finanzinstitut","Schulgasse 14","6065","Thaur",,,,,,,
"Raiffeisenbank Thiersee eGen","Finanzinstitut","Vorderthiersee 40","6335","Thiersee",,,,,,,
"Raiffeisenbank Tux eGen","Finanzinstitut","Lanersbach 464","6293","Tux",,,,,,,
"Raiffeisenbank Vils und Umgebung eGen","Finanzinstitut","Stadtplatz 2","6682","Vils",,,,,,,
"Raiffeisenkasse Volders und Umgebung registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Bundesstraße 24c","6111","Volders",,,,,,,
"RaiffeisenBank St. Ulrich - Waidring eGen","Finanzinstitut","Dorfstraße 5a","6384","Waidring",,,,,,,
"Raiffeisenbank Wattens und Umgebung, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Fr.Strickner-Straße 2","6112","Wattens",,,,,,,
"Raiffeisenkasse Weerberg registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Mitterberg 127","6133","Weerberg",,,,,,,
"Raiffeisenbank Pitztal eGen","Finanzinstitut","Unterdorf 18","6473","Wenns",,,,,,,
