"Firmenname ","Branche","Branche","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"Raiffeisenbank Westendorf eGen","Finanzinstitut","Dorfstraße 18","6363","Westendorf",,,,,,,
"Raiffeisenbank Wildschönau registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Kirchen, Oberau 314","6311","Wildschönau",,,,,,,
"Raiffeisen Bezirksbank Kufstein eGen","Finanzinstitut","Oberer Stadtplatz 1a","6330","Kufstein",,,,,,,
"Raiffeisenbank Oberland eGen","Finanzinstitut","Hauptstraße 55","6511","Zams",,,,,,,
"Raiffeisenbank Zell am Ziller und Umgebung registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Dorfplatz 3","6280","Zell/Ziller",,,,,,,
"Raiffeisen Regionalbank Hall in Tirol eGen","Finanzinstitut","Zollstraße 1","6060","Hall/Tirol",,,,,,,
"Raiffeisenbank Defereggental eGen","Finanzinstitut","Innerrotte 38","9963","St.Jakob/Def.",,,,,,,
"Raiffeisenbank Sillian eGen","Finanzinstitut","Marktplatz 10","9920","Sillian",,,,,,,
"Raiffeisenkasse Lienzer Talboden eGen","Finanzinstitut","HNr. 17","9782","Nikolsdorf",,,,,,,
"Raiffeisenbank Matrei in Osttirol, Virgen-Prägraten-Kals am Großglockner registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Rauterplatz 4","9971","Matrei/Osttirol",,,,,,,
"Raiffeisenkasse Villgratental registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Innervillgraten 79","9932","Innervillgraten",,,,,,,
"Alpenbank Aktiengesellschaft","Finanzinstitut","Kaiserjägerstraße 9","6020","Innsbruck",,,,,,,
"Raiffeisenlandesbank Vorarlberg Waren- und Revisionsverband registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Rheinstraße 11","6900","Bregenz",,,,,,,
"Raiffeisenbank Alberschwende registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hof 18","6861","Alberschwende",,,,,,,
"Raiffeisenbank Au registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Lisse 94","6883","Au/Bregenzerw.",,,,,,,
"Raiffeisenbank Bezau-Mellau-Bizau registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Platz 398","6870","Bezau",,,,,,,
"Raiffeisenbank Im Rheintal eGen","Finanzinstitut","Rathausplatz 8","6850","Dornbirn",,,,,,,
"Raiffeisenbank Feldkirch, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Domplatz 3","6800","Feldkirch",,,,,,,
"Raiffeisenbank Mittelbregenzerwald registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Loco 12","6863","Egg/Vbg.",,,,,,,
"RAIFFEISENBANK FRASTANZ-SATTEINS registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Bahnhofstraße 2","6820","Frastanz",,,,,,,
"Raiffeisenbank amKumma eGen","Finanzinstitut","Junker-Jonas-Platz 2","6840","Götzis",,,,,,,
"Raiffeisenbank am Bodensee registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Seestraße 1","6971","Hard",,,,,,,
"Walser Privatbank Aktiengesellschaft","Finanzinstitut","Walserstraße 263","6992","Hirschegg",,,,,,,
"Raiffeisenbank Vorderbregenzerwald registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Platz 186","6952","Hittisau",,,,,,,
"Raiffeisenbank Hohenems registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Schillerallee 1","6845","Hohenems",,,,,,,
"RAIFFEISENBANK LEIBLACHTAL registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Heribrandstraße 1","6912","Hörbranz",,,,,,,
"Raiffeisenbank Langen-Thal registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Reicharten 170","6932","Langen",,,,,,,
"Raiffeisenbank Lech/Arlberg, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Lech 90","6764","Lech",,,,,,,
"RAIFFEISENBANK WALGAU-GROSSWALSERTAL registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Bahnhofstraße 2","6710","Nenzing",,,,,,,
"Raiffeisenbank Rankweil registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Bahnhofstraße 2","6830","Rankweil",,,,,,,
"Raiffeisenbank Bludenz-Montafon eGen","Finanzinstitut","Werdenbergerstraße 9","6700","Bludenz",,,,,,,
"Raiffeisenbank Weissachtal eGen","Finanzinstitut","Dorf 245","6934","Sulzberg",,,,,,,
"Raiffeisenbank Vorderland registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Monfortstraße 9","6832","Sulz",,,,,,,
"Raiffeisenbank am Hofsteig registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Kellhofstraße 12","6922","Wolfurt",,,,,,,
"Raiffeisen-Landesbank Steiermark AG","Finanzinstitut","Kaiserfeldgasse 5","8010","Graz",,,,,,,
"Raiffeisenbank Admont eGen","Finanzinstitut","-","8911","Admont",,,,,,,
"Raiffeisenbank Pöllau-Birkfeld eGen","Finanzinstitut","Hauptplatz 2","8190","Birkfeld",,,,,,,
"Raiffeisenbank Breitenau eGen","Finanzinstitut","St.Jakob 1","8614","Breitenau am Hochlantsch",,,,,,,
"Raiffeisenbank Wechselland eGen","Finanzinstitut","Dechantskirchen","8241","Dechantskirchen",,,,,,,
"Raiffeisenbank Deutschlandsberg eGen","Finanzinstitut","Raiffeisenstraße 1","8530","Deutschlandsberg",,,,,,,
"Raiffeisenbank Süd-Weststeiermark eGen","Finanzinstitut","Oberer Markt 9","8551","Wies",,,,,,,
"Raiffeisenbank Region Fehring eGen","Finanzinstitut","Fehring","8350","Fehring",,,,,,,
"Raiffeisenbank Region Graz-Thalerhof eGen","Finanzinstitut","Hauptstraße 135","8401","Kalsdorf/Graz",,,,,,,
"Raiffeisenbank Mittleres Raabtal eGen","Finanzinstitut","Paldau 40","8341","Paldau",,,,,,,
"Raiffeisenbank Fürstenfeld eGen","Finanzinstitut","Stadt-Zug-Platz 4","8280","Fürstenfeld",,,,,,,
"Raiffeisenbank Gamlitz eGen","Finanzinstitut","Obere Hauptstraße 210","8462","Gamlitz",,,,,,,
"Raiffeisenbank Gleinstätten-Leutschach eGen","Finanzinstitut","Gleinstätten 168","8443","Gleinstätten",,,,,,,
"Raiffeisenbank Region Gleisdorf eGen","Finanzinstitut","Florianiplatz 18/19","8200","Gleisdorf",,,,,,,
"Raiffeisenbank Nördliche Oststeiermark eGen","Finanzinstitut","Hauptplatz 47","8232","Grafendorf/Hb.",,,,,,,
"Raiffeisenbank Gratkorn eGen","Finanzinstitut","Grazer Straße 5","8101","Gratkorn",,,,,,,
"Raiffeisenbank Gratwein eGen","Finanzinstitut","Bahnhofstraße 22","8112","Gratwein-Straßengel",,,,,,,
"Raiffeisenbank Gröbming eGen","Finanzinstitut","Hauptstraße 279","8962","Gröbming",,,,,,,
"Raiffeisenbank Groß St. Florian-Wettmannstätten eGen","Finanzinstitut","Marktstraße 3","8522","Groß St.Florian",,,,,,,
"Raiffeisenbank Großwilfersdorf eGen","Finanzinstitut","Großwilfersdorf","8263","Großwilfersdorf",,,,,,,
"Raiffeisenbank Halbenrain-Tieschen eGen","Finanzinstitut","Halbenrain 125","8492","Halbenrain",,,,,,,
"Raiffeisenbank Mariazellerland eGen","Finanzinstitut","Hauptplatz 1","8630","Mariazell",,,,,,,
"Raiffeisenbank Markt Hartmannsdorf eGen","Finanzinstitut","Hauptstraße 240","8311","Markt Hartmannsdorf",,,,,,,
"Raiffeisenbank Hausmannstätten eGen","Finanzinstitut","Grazer Straße 6","8071","Hausmannst.",,,,,,,
"Raiffeisenbank Ilz-Großsteinbach-Riegersburg eGen","Finanzinstitut","Ilz 39","8262","Ilz",,,,,,,
"Raiffeisenbank Heiligenkreuz-Kirchbach eGen","Finanzinstitut","Kirchbach 12","8082","Kirchbach/Stmk.",,,,,,,
"Raiffeisenbank Mürztal eGen","Finanzinstitut","Grazer Straße 19","8680","Mürzzuschlag",,,,,,,
"Raiffeisenbank Weiz-Anger eGen","Finanzinstitut","Kapruner Generator Straße 10","8160","Weiz",,,,,,,
"Raiffeisenbank Leibnitz eGen","Finanzinstitut","Bahnhofstraße 2","8430","Leibnitz",,,,,,,
"Raiffeisenbank Lieboch-Stainz eGen","Finanzinstitut","Grazer Straße 7","8510","Stainz",,,,,,,
"Raiffeisenbank Ligist-St.Johann eGen","Finanzinstitut","Ligist 20","8563","Ligist",,,,,,,
"Raiffeisenbank Liezen eGen","Finanzinstitut","Hauptplatz 11","8940","Liezen",,,,,,,
"Raiffeisenbank Graz-Mariatrost eGen","Finanzinstitut","Mariatroster Straße 255","8044","Graz-Mariatrost",,,,,,,
"Raiffeisenbank Liesingtal eGen","Finanzinstitut","Hauptstraße 18","8774","Mautern/Stmk.",,,,,,,
"Raiffeisenbank Mooskirchen-Söding eGen","Finanzinstitut","Raiffeisenplatz 6","8562","Mooskirchen",,,,,,,
"Raiffeisenbank Murau eGen","Finanzinstitut","Bundesstraße 5","8850","Murau",,,,,,,
"Raiffeisenbank Steirisches Salzkammergut eGen","Finanzinstitut","Bad Mitterndorf 13a","8983","Bad Mitterndorf",,,,,,,
"Raiffeisenbank Nestelbach-Eggersdorf eGen","Finanzinstitut","Schemerlhöhe 71","8302","Nestelbach",,,,,,,
"Raiffeisenbank Öblarn eGen","Finanzinstitut","Raiffeisenstraße 42","8960","Öblarn",,,,,,,
"Raiffeisenbank Passail eGen","Finanzinstitut","Markt 15","8162","Passail",,,,,,,
"Raiffeisenbank Pischelsdorf-Stubenberg eGen","Finanzinstitut","Pischelsdorf 26","8212","Pischelsdorf am Kulm",,,,,,,
"Raiffeisenbank Preding-Hengsberg-St. Nikolai i. S. eGen","Finanzinstitut","Preding 284","8504","Preding",,,,,,,
"Raiffeisenbank Bad Radkersburg-Klöch eGen","Finanzinstitut","Halbenrainer Straße 2","8490","Bad Radkersburg",,,,,,,
"Raiffeisenbank Hitzendorf-Rein eGen","Finanzinstitut","Hitzendorf 133","8151","Hitzendorf",,,,,,,
"Raiffeisenbank St. Georgen a. d. Stiefing eGen","Finanzinstitut","St.Georgen a.d.Stiefing 20a","8413","St.Georgen/Sti.",,,,,,,
"Raiffeisenbank Aichfeld eGen","Finanzinstitut","Kärntner Straße 2","8720","Knittelfeld",,,,,,,
"Raiffeisenbank Turnau-St. Lorenzen eGen","Finanzinstitut","Hauptstraße 21","8641","St. Marein im Mürztal",,,,,,,
"Raiffeisenbank Trieben eGen","Finanzinstitut","Hauptplatz 2","8784","Trieben",,,,,,,
"Raiffeisenbank Graz-St. Peter eGen","Finanzinstitut","St.Peter-Hauptstraße 55","8042","Graz-St.Peter",,,,,,,
"Raiffeisenbank Zirbenland eGen","Finanzinstitut","Hauptplatz 12","8750","Judenburg",,,,,,,
"Raiffeisenbank Mureck eGen","Finanzinstitut","Hauptplatz 8","8480","Mureck",,,,,,,
"Raiffeisenbank St.Stefan-Kraubath eGen","Finanzinstitut","Dorfplatz 14","8713","St.Stefan/Leob.",,,,,,,
"Raiffeisenbank St. Stefan-Jagerberg-Wolfsberg eGen","Finanzinstitut","Murecker Straße 23","8083","St.Stefan i.R.",,,,,,,
"Raiffeisenbank Schilcherland eGen","Finanzinstitut","St.Stefan ob Stainz 21","8511","St.Stefan/Stai.",,,,,,,
"Raiffeisenbank Graz-Andritz eGen","Finanzinstitut","Grazer Straße 62","8045","Graz-Andritz",,,,,,,
"Raiffeisenbank Neumarkt-Oberwölz eGen","Finanzinstitut","-","8820","Neumarkt",,,,,,,
"Raiffeisenbank Hartberg eGen","Finanzinstitut","Wiesengasse 2","8230","Hartberg",,,,,,,
"Raiffeisenbank Thermenland eGen","Finanzinstitut","Bad Waltersdorf 371","8271","Bad Waltersdorf",,,,,,,
"Raiffeisenbank Straß-Spielfeld eGen","Finanzinstitut","Hauptstraße 59","8472","Straß",,,,,,,
"Raiffeisenbank Stallhofen eGen","Finanzinstitut","Raiffeisenplatz 1","8152","Stallhofen",,,,,,,
"Raiffeisenbank Straden eGen","Finanzinstitut","Raiffeisengasse 75","8345","Straden",,,,,,,
"Raiffeisenbank Graz-Straßgang eGen","Finanzinstitut","Kärntner Straße 394","8054","Graz/Straßgang",,,,,,,
"Raiffeisenbank Leoben-Bruck eGen","Finanzinstitut","Grazer Straße 63","8605","Kapfenberg",,,,,,,
"Raiffeisenbank Schladming-Ramsau-Haus eGen","Finanzinstitut","Schulgasse 189","8970","Schladming",,,,,,,
"Raiffeisenbank Lipizzanerheimat eGen","Finanzinstitut","Voitsberg","8570","Voitsberg",,,,,,,
"Raiffeisenbank Feldbach-Gnas-Bad Gleichenberg eGen","Finanzinstitut","Hauptplatz 18","8330","Feldbach",,,,,,,
"Raiffeisenbank Wildon-Lebring eGen","Finanzinstitut","Leibnitzer Straße 1","8410","Wildon",,,,,,,
"Raiffeisenlandesbank Kärnten - Rechenzentrum und Revisionsverband, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Raiffeisenplatz 1","9020","Klagenfurt am Wörthersee",,,,,,,
"Posojilnica Bank eGen","Finanzinstitut","Paulitschgasse 5-7","9020","Klagenfurt",,,,,,,
"Raiffeisenbank Sirnitz-Himmelberg-Deutsch-Griffen, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Sirnitz 6","9571","Sirnitz",,,,,,,
"Raiffeisenbank Althofen - Guttaring, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Kreuzstraße 15","9330","Treibach-Althofen",,,,,,,
"Raiffeisenbank Arnoldstein, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Gemeindeplatz 2","9601","Arnoldstein",,,,,,,
"Raiffeisen-Bezirksbank Spittal/Drau, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Burgplatz 2","9800","Spittal/Drau",,,,,,,
"Raiffeisenbank Brückl-Eberstein-Klein St. Paul-Waisenberg, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hüttenbergerstraße 1","9371","Brückl",,,,,,,
"Raiffeisenbank Bleiburg registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","10. Oktober-Platz 13","9150","Bleiburg",,,,,,,
"Raiffeisenbank Eberndorf registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Bahnstraße 22","9141","Eberndorf",,,,,,,
"Raiffeisenbank Lavamünd, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Lavamünd 41","9473","Lavamünd",,,,,,,
"Raiffeisenbank Fürnitz, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Rosentalstraße 14","9586","Fürnitz",,,,,,,
"Raiffeisenbank Grafenstein-Magdalensberg und Umgebung, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Klopeiner Straße 3","9131","Grafenstein",,,,,,,
"Raiffeisenbank Oberdrautal-Weissensee, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Greifenburg 120","9761","Greifenburg",,,,,,,
"Raiffeisenbank Hüttenberg - Wieting, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Reiftanzplatz 7","9375","Hüttenberg",,,,,,,
"Raiffeisenbank Keutschach-Maria Wörth, eingetragene Genossenschaft mit beschränkter Haftung","Finanzinstitut","Plaschischen 45","9074","Keutschach",,,,,,,
"Raiffeisen-Bezirksbank Klagenfurt, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Bahnhofstraße 3","9020","Klagenfurt am Wörthersee",,,,,,,
"Raiffeisenbank Kötschach - Mauthen, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Kötschach 7","9640","Kötschach-Mauthen",,,,,,,
"Raiffeisenbank Landskron - Gegendtal, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Ossiacher Straße 26","9523","Landskron",,,,,,,
"Raiffeisenbank Finkenstein - Faaker See, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Faakerseestraße 10","9584","Finkenstein",,,,,,,
"Raiffeisenbank Launsdorf, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptstraße 12","9314","Launsdorf",,,,,,,
"Raiffeisenbank Velden am Wörthersee registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Karawankenplatz 2","9220","Velden/Wörthersee",,,,,,,
"Raiffeisenbank Maltatal, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Malta 14","9854","Malta/Kärnten",,,,,,,
"Raiffeisenbank Maria Saal registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Raiffeisenplatz 1","9063","Maria Saal",,,,,,,
"Raiffeisenbank Metnitz und Umgebung registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Untermarkt 62","9363","Metnitz",,,,,,,
"Raiffeisenbank Moosburg-Tigring, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Klagenfurter Straße 5","9062","Moosburg",,,,,,,
"Raiffeisen Bank Lurnfeld-Reißeck registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptstraße 23","9813","Möllbrücke",,,,,,,
"Raiffeisenbank Oberdrauburg, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Marktstraße 6","9781","Oberdrauburg",,,,,,,
"Raiffeisenbank Mittleres Mölltal, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Obervellach 57","9821","Obervellach",,,,,,,
"Raiffeisenbank Drautal registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptstraße 163","9711","Paternion",,,,,,,
"Raiffeisenbank Radenthein-Bad Kleinkirchheim registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptstraße 41","9545","Radenthein",,,,,,,
"Raiffeisenbank Reichenau-Gnesau, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Ebene Reichenau 102","9565","Ebene Reichenau",,,,,,,
"Raiffeisenbank Liesertal, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Rennweg 6","9863","Rennweg",,,,,,,
"Raiffeisen-Bezirksbank St. Veit a.d. Glan-Feldkirchen, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Oktoberplatz 1","9300","St. Veit an der Glan",,,,,,,
"Raiffeisenbank Millstättersee eG","Finanzinstitut","Hauptstraße 82","9871","Seeboden",,,,,,,
"Raiffeisenbank Mittleres Lavanttal eGen","Finanzinstitut","St. Andrä","9433","St. Andrä im Lavanttal",,,,,,,
"Raiffeisenbank Rosental, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Feistritz 126","9181","Feistritz/Rosental",,,,,,,
"Raiffeisenbank Oberes Lavanttal registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptplatz 18","9462","Bad St.Leonhard",,,,,,,
"Raiffeisen Bank Villach registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Nikolaigasse 4","9500","Villach",,,,,,,
"Raiffeisenbank St. Paul im Lavanttal mit Zweiganstalten Maria Rojach und St. Georgen, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptstraße 26","9470","St.Paul/Lav.",,,,,,,
"Raiffeisenbank Friesach-Metnitztal, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptplatz 13","9360","Friesach/Ktn.",,,,,,,
"Raiffeisenbank Ossiacher See, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","10.-Oktober-Straße 2","9551","Bodensdorf/Oss.",,,,,,,
"Raiffeisenbank Gurktal, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptplatz 5","9341","Straßburg",,,,,,,
"Raiffeisenbank Hermagor, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Gasserplatz 4","9620","Hermagor",,,,,,,
"Raiffeisenbank Völkermarkt, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptplatz 12","9100","Völkermarkt",,,,,,,
"Raiffeisenbank Wernberg, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Bundesstraße 15","9241","Wernberg",,,,,,,
"Raiffeisenbank Oberes Mölltal, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Winklern 37","9841","Winklern",,,,,,,
"Volksbank Bad Goisern eingetragene Genossenschaft","Finanzinstitut","Obere Marktstraße 2","4822","Bad Goisern / Hallstättersee",,,,,,,
"DolomitenBank Osttirol-Westkärnten eG","Finanzinstitut","Südtiroler Platz 9","9900","Lienz",,,,,,,
"Marchfelder Bank eG","Finanzinstitut","Volksbank-Platz 1-2","2230","Gänserndorf",,,,,,,
"Volksbank Kärnten eG","Finanzinstitut","Pernhartgasse 7","9020","Klagenfurt am Wörthersee",,,,,,,
"Volksbank Tirol AG","Finanzinstitut","Meinhardstraße 1","6020","Innsbruck",,,,,,,
"Volksbank Steirisches Salzkammergut, registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Kurhausplatz 298","8990","Bad Aussee",,,,,,,
"VOLKSBANK WIEN AG","Finanzinstitut","Kolingasse 14-16","1090","Wien",,,,,,,
"Volksbank Bad Hall e.Gen.","Finanzinstitut","Hauptplatz 22","4540","Bad Hall",,,,,,,
"Waldviertler Volksbank Horn registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptplatz 10","3580","Horn",,,,,,,
"Österreichische Apothekerbank eG","Finanzinstitut","Spitalgasse 31","1090","Wien",,,,,,,
"Volksbank Steiermark AG","Finanzinstitut","Schmiedgasse 31","8010","Graz",,,,,,,
"Volksbank Oberösterreich AG","Finanzinstitut","Pfarrgasse 5","4600","Wels",,,,,,,
"WSK Bank AG","Finanzinstitut","Weimarer Straße 26-28","1180","Wien",,,,,,,
"Volksbank Salzburg eG","Finanzinstitut","St. Julien-Str. 12","5020","Salzburg",,,,,,,
"Volksbank Almtal e. Gen.","Finanzinstitut","Hauptstraße 16","4644","Scharnstein",,,,,,,
"VOLKSBANK VORARLBERG e. Gen.","Finanzinstitut","Ringstraße 27","6830","Rankweil",,,,,,,
"SPARDA-BANK AUSTRIA eGen","Finanzinstitut","Hamerlingstraße 40","4018","Linz",,,,,,,
"IMMO-BANK Aktiengesellschaft","Finanzinstitut","Stadiongasse 10","1010","Wien",,,,,,,
"Volksbank Niederösterreich AG","Finanzinstitut","Brunngasse 10","3100","St. Pölten",,,,,,,
"VR-Bank Braunau Zweigniederlassung der VR-Bank Rottal-Inn eG","Finanzinstitut","Ringstraße 45","5280","Braunau/Inn",,,,,,,
"HYPO-BANK BURGENLAND Aktiengesellschaft","Finanzinstitut","Neusiedler Straße 33","7000","Eisenstadt",,,,,,,
"Austrian Anadi Bank AG","Finanzinstitut","Domgasse 5","9020","Klagenfurt",,,,,,,
"HYPO NOE Landesbank AG","Finanzinstitut","Hypogasse 1","3100","St.Pölten",,,,,,,
"HYPO NOE Gruppe Bank AG","Finanzinstitut","Hypogasse 1","3100","St.Pölten",,,,,,,
"Oberösterreichische Landesbank Aktiengesellschaft","Finanzinstitut","Landstraße 38","4010","Linz",,,,,,,
"SALZBURGER LANDES-HYPOTHEKENBANK AKTIENGESELLSCHAFT","Finanzinstitut","Residenzplatz 7","5020","Salzburg",,,,,,,
"Landes-Hypothekenbank Steiermark Aktiengesellschaft","Finanzinstitut","Radetzkystraße 15-17","8010","Graz",,,,,,,
"HYPO TIROL BANK AG","Finanzinstitut","Meraner Straße 8","6020","Innsbruck",,,,,,,
"Vorarlberger Landes- und Hypothekenbank Aktiengesellschaft","Finanzinstitut","Hypo-Passage 1","6900","Bregenz",,,,,,,
"Österreichische Hotel- und Tourismusbank Gesellschaft m.b.H.","Finanzinstitut","Parkring 12a","1010","Wien",,,,,,,
"LEASFINANZ Bank GmbH","Finanzinstitut","Operngasse 21","1040","Wien",,,,,,,
"Sberbank Europe AG","Finanzinstitut","Schwarzenbergplatz 3","1010","Wien",,,,,,,
"SPAR-FINANZ BANK AG","Finanzinstitut","Europastraße 3","5015","Salzburg",,,,,,,
"State Street Bank International GmbH Filiale Wien","Finanzinstitut","Schottengasse 4","1010","Wien",,,,,,,
"PSA Bank Österreich, Niederlassung der PSA Bank Deutschland GmbH","Finanzinstitut","Wienerbergstraße 11","1100","Wien",,,,,,,
"Porsche Bank Aktiengesellschaft","Finanzinstitut","Vogelweiderstraße 75","5020","Salzburg",,,,,,,
"SIX Payment Services (Austria) GmbH","Finanzinstitut","Marxergasse 1B","1030","Wien",,,,,,,
"TeamBank Österreich - Niederlassung der TeamBank AG Nürnberg","Finanzinstitut","Fischhof 3/6, Top 301","1010","Wien",,,,,,,
"card complete Service Bank AG","Andere","Lassallestraße 3","1020","Wien",,,,,,,
"SEMPER CONSTANTIA PRIVATBANK AKTIENGESELLSCHAFT","Finanzinstitut","Heßgasse 1","1010","Wien",,,,,,,
"Amundi EUR Geldmarktfonds","Fond","Georg-Coch-Platz 2","1010","Wien",,,,,,,
"Amundi USD Geldmarktfonds","Fond","Georg-Coch-Platz 2","1010","Wien",,,,,,,
"Schoellerbank Kurzinvest","Fond","Sterneckstraße 5","5024","Salzburg",,,,,,,
